time,event_type,task_id,status,release_time,deadline,origin_node,weight,assigned_vehicle,assigned_time,service_distance,service_duration,complete_time
9,released,13,pending,9,65,23,6.62,,,0.0,0,
9,assigned,13,assigned,9,65,23,6.62,0,9,0.0,0,
11,released,1,pending,11,41,5,8.18,,,0.0,0,
11,assigned,1,assigned,11,41,5,8.18,1,11,0.0,0,
14,completed,13,completed,9,65,23,6.62,0,9,8.266,5,14
21,completed,1,completed,11,41,5,8.18,1,11,15.5595,10,21
24,released,8,pending,24,101,3,12.2,,,0.0,0,
24,released,17,pending,24,83,23,10.1,,,0.0,0,
24,assigned,8,assigned,24,101,3,12.2,0,24,0.0,0,
24,assigned,17,assigned,24,83,23,10.1,2,24,0.0,0,
26,completed,8,completed,24,101,3,12.2,0,24,4.1706,2,26
29,completed,17,completed,24,83,23,10.1,2,24,8.266,5,29
36,released,12,pending,36,99,3,16.65,,,0.0,0,
36,assigned,12,assigned,36,99,3,16.65,0,36,0.0,0,
38,completed,12,completed,36,99,3,16.65,0,36,4.1706,2,38
41,released,27,pending,41,85,4,1.38,,,0.0,0,
41,assigned,27,assigned,41,85,4,1.38,1,41,0.0,0,
44,released,25,pending,44,111,13,4.37,,,0.0,0,
44,assigned,25,assigned,44,111,13,4.37,0,44,0.0,0,
49,completed,27,completed,41,85,4,1.38,1,41,13.2619,8,49
50,released,19,pending,50,94,5,11.32,,,0.0,0,
50,assigned,19,assigned,50,94,5,11.32,2,50,0.0,0,
55,completed,25,completed,44,111,13,4.37,0,44,17.2102,11,55
58,released,0,pending,58,106,13,4.66,,,0.0,0,
58,assigned,0,assigned,58,106,13,4.66,3,58,0.0,0,
59,released,5,pending,59,132,1,21.33,,,0.0,0,
59,released,29,pending,59,92,14,17.36,,,0.0,0,
59,assigned,5,assigned,59,132,1,21.33,1,59,0.0,0,
59,assigned,29,assigned,59,92,14,17.36,4,59,0.0,0,
60,released,10,pending,60,129,3,15.43,,,0.0,0,
60,completed,19,completed,50,94,5,11.32,2,50,15.5595,10,60
62,released,22,pending,62,87,10,10.95,,,0.0,0,
66,completed,5,completed,59,132,1,21.33,1,59,11.7323,7,66
67,completed,29,completed,59,92,14,17.36,4,59,13.0571,8,67
68,released,23,pending,68,95,14,8.39,,,0.0,0,
68,assigned,10,assigned,60,129,3,15.43,0,68,0.0,0,
69,completed,0,completed,58,106,13,4.66,3,58,17.2102,11,69
70,completed,10,completed,60,129,3,15.43,0,68,4.1706,2,70
72,released,20,pending,72,129,22,3.07,,,0.0,0,
72,assigned,22,assigned,62,87,10,10.95,2,72,0.0,0,
74,assigned,23,assigned,68,95,14,8.39,0,74,0.0,0,
74,completed,22,completed,62,87,10,10.95,2,72,3.8675,2,74
75,assigned,20,assigned,72,129,22,3.07,1,75,0.0,0,
76,released,24,pending,76,154,23,26.85,,,0.0,0,
77,assigned,24,assigned,76,154,23,26.85,4,77,0.0,0,
82,completed,23,completed,68,95,14,8.39,0,74,13.0571,8,82
82,completed,20,completed,72,129,22,3.07,1,75,10.6598,7,82
82,completed,24,completed,76,154,23,26.85,4,77,8.266,5,82
91,released,18,pending,91,157,16,15.61,,,0.0,0,
91,assigned,18,assigned,91,157,16,15.61,2,91,0.0,0,
94,completed,18,completed,91,157,16,15.61,2,91,5.6587,3,94
96,released,9,pending,96,127,22,2.68,,,0.0,0,
96,assigned,9,assigned,96,127,22,2.68,3,96,0.0,0,
97,released,7,pending,97,168,4,20.23,,,0.0,0,
97,released,28,pending,97,143,6,17.5,,,0.0,0,
97,assigned,7,assigned,97,168,4,20.23,4,97,0.0,0,
99,assigned,28,assigned,97,143,6,17.5,2,99,0.0,0,
103,completed,9,completed,96,127,22,2.68,3,96,10.6598,7,103
105,completed,7,completed,97,168,4,20.23,4,97,13.2619,8,105
109,released,16,pending,109,142,6,23.16,,,0.0,0,
112,assigned,16,assigned,109,142,6,23.16,3,112,0.0,0,
112,completed,28,completed,97,143,6,17.5,2,99,19.5623,13,112
113,released,15,pending,113,156,18,11.34,,,0.0,0,
115,assigned,15,assigned,113,156,18,11.34,4,115,0.0,0,
117,released,3,pending,117,173,15,12.32,,,0.0,0,
118,assigned,3,assigned,117,173,15,12.32,1,118,0.0,0,
124,completed,3,completed,117,173,15,12.32,1,118,10.0231,6,124
125,completed,16,completed,109,142,6,23.16,3,112,19.5623,13,125
128,completed,15,completed,113,156,18,11.34,4,115,20.1087,13,128
129,released,2,pending,129,167,13,19.61,,,0.0,0,
129,released,21,pending,129,198,18,7.38,,,0.0,0,
129,assigned,2,assigned,129,167,13,19.61,0,129,0.0,0,
132,assigned,21,assigned,129,198,18,7.38,1,132,0.0,0,
133,released,6,pending,133,184,16,27.16,,,0.0,0,
140,assigned,6,assigned,133,184,16,27.16,3,140,0.0,0,
143,completed,6,completed,133,184,16,27.16,3,140,5.6587,3,143
145,completed,21,completed,129,198,18,7.38,1,132,20.1087,13,145
146,released,4,pending,146,183,13,3.6,,,0.0,0,
146,completed,2,completed,129,167,13,19.61,0,129,25.6918,17,146
148,released,14,pending,148,202,24,17.95,,,0.0,0,
154,assigned,14,assigned,148,202,24,17.95,2,154,0.0,0,
157,completed,14,completed,148,202,24,17.95,2,154,4.7801,3,157
159,assigned,4,assigned,146,183,13,3.6,0,159,0.0,0,
166,released,11,pending,166,224,7,17.86,,,0.0,0,
166,assigned,11,assigned,166,224,7,17.86,1,166,0.0,0,
169,released,26,pending,169,248,1,6.85,,,0.0,0,
169,assigned,26,assigned,169,248,1,6.85,2,169,0.0,0,
170,completed,4,completed,146,183,13,3.6,0,159,17.2102,11,170
172,completed,11,completed,166,224,7,17.86,1,166,10.0636,6,172
176,completed,26,completed,169,248,1,6.85,2,169,11.7323,7,176
