time,event_type,task_id,status,release_time,deadline,origin_node,weight,collaborative,delivered_weight,remaining_weight,assigned_vehicles,assigned_vehicle,assigned_time,service_distance,service_duration,complete_time
49,released,2,pending,49,119,5,2.27,False,0.0,2.27,{},,,0.0,0,
49,assigned,2,assigned,49,119,5,2.27,False,0.0,2.27,{0: 2.27},0,49,0.0,0,
58,released,1,pending,58,106,5,28.91,False,0.0,28.91,{},,,0.0,0,
59,completed,2,completed,49,119,5,2.27,False,2.27,0.0,{},0,49,15.5595,10,59
63,released,3,pending,63,139,7,29.97,False,0.0,29.97,{},,,0.0,0,
71,assigned,1,assigned,58,106,5,28.91,False,0.0,28.91,{0: 28.91},0,71,0.0,0,
81,completed,1,completed,58,106,5,28.91,False,28.91,0.0,{},0,71,15.5595,10,81
93,assigned,3,assigned,63,139,7,29.97,False,0.0,29.97,{0: 29.97},0,93,0.0,0,
99,completed,3,completed,63,139,7,29.97,False,29.97,0.0,{},0,93,10.0636,6,99
